missionId,missionName,missionLaunchDate,missionOrigin,countryAllowed,missionDuration (in months),missionType,jobName,jobDescription,missionDescription,employmentRequirements,age,minimum years of experience,qualifications,occupations,minimum computer skills required,language required,secondary language,cargo for?,cargo required,quantity required (for each)
7261,mission87,11/10/2025,United Kingdom,United Kingdom,84,medical,medical,medical,sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit. pellentesque a. facilisis non. bibendum sed. est. Nunc laoreet lectus quis massa. Mauris vestibulum. neque sed dictum,designer,18-32,7yr,BE,designer,advanced,english,chinese,journey,pies,301
7264,mission88,21/07/2021,Austria,Austria,62,town planning. roads,town planning. roads,town planning. roads,Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem. auctor quis. tristique ac. eleifend vitae. erat.,nurse,24-45,8yr,MS,surgeon,expert,english,chinese,journeyAndMission,stews,396
7267,mission89,11/3/2022,United States,United States,92,prison,prison,prison,Aliquam ornare. libero at auctor ullamcorper. nisl arcu iaculis enim. sit amet ornare lectus justo eu arcu.,general practitioner,18-50,8yr,BDS,manufacturer,advanced,english,chinese,journey,beef,55
7270,mission90,5/11/2023,Canada,Canada.New Zealand,77,prison,prison,prison,tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas,electrician,18-32,3yr,MBS,designer,advanced,english,persian. hindi,mission,water,454
7273,mission91,22/10/2021,Canada,Canada,89,prison. medical,prison. medical,prison. medical,Nam interdum enim non nisi. Aenean eget metus. In nec orci. Donec nibh. Quisque nonummy ipsum non arcu. Vivamus sit,electrician,24-50,2yr,MIT,general practitioner,expert,english,bengali,journey,water. desserts,22
7276,mission92,11/10/2022,New Zealand,New Zealand,44,prison. medical,railways,railways,libero nec ligula consectetuer rhoncus. Nullam velit dui. semper et. lacinia vitae. sodales at. velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus.,designer,24-45,2yr,MBBS,electrician,intermediate,english,russian. javanese. greek,journeyAndMission,cereals. chicken. salads,359
7279,mission93,20/02/2025,Canada,Canada,27,prison. medical,architecture. railways,architecture. railways,et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio. auctor,general practitioner,24-50,1yr,BDS,builder,intermediate,english,chinese,journeyAndMission,concrete,464
7282,mission94,13/02/2024,United Kingdom,United Kingdom,88,railways,railways,railways,fringilla ornare placerat. orci lacus vestibulum lorem. sit amet ultricies sem magna nec quam. Curabitur vel lectus. Cum sociis natoque penatibus,builder,18-50,5yr,MS,general practitioner,advanced,english,hindi. mandarin. italian,journeyAndMission,water. salads,218
7285,mission95,9/10/2022,Austria,Austria.New Zealand,45,architecture. railways,architecture. railways,architecture. railways,at. egestas a. scelerisque sed. sapien. Nunc pulvinar arcu et pede.,carpenter,24-50,6yr,MBS,carpenter,intermediate,english,chinese,journeyAndMission,beef. pies. cereals,84
7288,mission96,23/09/2024,India,India,62,architecture. railways,roads. medical,roads. medical,interdum. Sed auctor odio a purus. Duis elementum. dui quis accumsan convallis. ante lectus convallis est. vitae sodales nisi magna sed dui. Fusce aliquam. enim,general practitioner,18-32,5yr,ME,builder,advanced,english,chinese,journeyAndMission,chicken. salads,476
7291,mission97,1/5/2024,Canada,Canada,35,roads. medical,roads. medical,roads. medical,ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut,painter,18-50,5yr,MBS,surgeon,expert,english,punjabi. javanese,journey,pies,451
7294,mission98,14/05/2025,Austria,Austria,86,roads. medical,agriculture,agriculture,nunc nulla vulputate dui. nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec metus,manufacturer,24-45,3yr,MBS,nurse,intermediate,english,chinese,journey,pork. desserts. cereals. stews,340
7297,mission99,2/11/2024,India,India.New Zealand,47,agriculture,agriculture,agriculture,Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare. libero at auctor ullamcorper. nisl arcu iaculis enim. sit amet ornare lectus justo,surgeon,24-45,2yr,BDS,designer,expert,english,chinese,journey,cereals. soups,355
7300,mission100,15/01/2023,New Zealand,New Zealand,73,prison. architecture,prison. architecture,prison. architecture,egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non,manufacturer,24-50,3yr,MIT,builder,expert,english,greek. telugu. hindi,journey,pies. chicken. salads,311
